q1,q2,q3,q_titolo,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
maschio,sud,50+,post_magistrale,si,no,non_ancora,si,no,si,si,no,si,non_saprei,si,si
femmina,sud,50+,post_magistrale,si,no,no,si,no,no,no,si,no,no,no,non_ancora
femmina,nord,18-30,diploma,non_saprei,si,si,si,si,no,si,no,non_ancora,si,no,no
altro,centro,30-50,post_magistrale,no,non_saprei,si,si,non_saprei,non_saprei,si,si,no,no,si,no
non_rispondere,nord,50+,diploma,no,si,non_ancora,si,no,si,si,non_ancora,si,si,si,no
maschio,sud,18-30,triennale_master,no,non_saprei,non_ancora,non_saprei,si,no,si,si,non_ancora,non_saprei,si,si
non_rispondere,centro,50+,laurea_magistrale,si,non_saprei,si,si,si,non_saprei,si,si,si,no,non_ancora,non_ancora
femmina,sud,18-30,laurea_triennale,no,no,si,non_saprei,non_saprei,no,non_saprei,non_ancora,non_ancora,no,no,si
femmina,sud,18-30,laurea_magistrale,no,si,non_ancora,non_saprei,no,no,no,si,no,si,si,si
femmina,nord,50+,post_magistrale,no,non_saprei,no,si,si,si,non_saprei,non_ancora,si,si,non_ancora,si
femmina,nord,18-30,post_magistrale,no,no,no,si,no,non_saprei,si,si,non_ancora,no,si,non_ancora
maschio,nord,30-50,triennale_master,si,si,si,no,si,no,si,non_ancora,non_ancora,si,non_ancora,no
non_rispondere,nord,50+,laurea_triennale,si,si,non_ancora,si,no,si,non_saprei,no,non_ancora,si,non_ancora,si
femmina,nord,30-50,laurea_magistrale,no,non_saprei,si,non_saprei,si,si,si,non_ancora,non_ancora,non_saprei,non_ancora,si
altro,nord,30-50,laurea_magistrale,si,non_saprei,non_ancora,no,non_saprei,si,non_saprei,si,no,si,si,no
altro,nord,18-30,laurea_triennale,si,no,si,si,no,no,no,non_ancora,si,no,non_ancora,si
altro,nord,50+,laurea_magistrale,no,si,non_ancora,si,no,non_saprei,non_saprei,no,non_ancora,non_saprei,si,si
femmina,sud,30-50,laurea_magistrale,no,non_saprei,non_ancora,si,no,non_saprei,non_saprei,si,no,non_saprei,non_ancora,si
femmina,centro,18-30,laurea_magistrale,non_saprei,si,no,si,no,non_saprei,si,no,no,non_saprei,non_ancora,non_ancora
altro,centro,18-30,laurea_triennale,non_saprei,si,si,no,no,si,no,no,non_ancora,si,non_ancora,no
altro,nord,18-30,diploma,no,no,si,no,no,non_saprei,no,non_ancora,non_ancora,si,si,si
altro,nord,50+,laurea_magistrale,si,non_saprei,si,non_saprei,no,no,no,non_ancora,non_ancora,non_saprei,non_ancora,si
non_rispondere,sud,18-30,laurea_triennale,no,no,no,non_saprei,non_saprei,si,no,si,no,non_saprei,si,si
maschio,centro,50+,triennale_master,no,no,no,no,no,non_saprei,no,non_ancora,non_ancora,non_saprei,si,non_ancora
altro,nord,18-30,laurea_triennale,no,non_saprei,si,no,si,no,si,si,si,no,si,si
maschio,centro,18-30,laurea_magistrale,no,si,non_ancora,non_saprei,si,non_saprei,non_saprei,no,si,si,si,si
non_rispondere,sud,18-30,post_magistrale,no,si,no,si,si,non_saprei,no,non_ancora,non_ancora,si,non_ancora,non_ancora
maschio,centro,18-30,laurea_triennale,non_saprei,si,no,si,si,si,non_saprei,non_ancora,si,no,non_ancora,non_ancora
maschio,nord,18-30,laurea_magistrale,si,si,non_ancora,si,si,non_saprei,non_saprei,non_ancora,si,si,non_ancora,no
altro,sud,18-30,diploma,no,si,no,si,si,si,non_saprei,non_ancora,non_ancora,no,no,si
